OTU_ID,April_150m_DNA,July_DCM_DNA,April_890m_DNA,Oct_DCM_DNA,Oct_150m_DNA,July_150m_DNA,April_150m_cDNA,July_150m_cDNA,Jan_DCM_DNA,Jan_150m_DNA,April_CAT_DNA,April_5m_DNA,July_POLA_DNA,July_CAT_DNA,July_5m_DNA,April_5m_cDNA,July_CAT_cDNA,July_5m_cDNA,Oct_CAT_DNA,April_CAT_cDNA,Oct_POLA_DNA,Oct_5m_DNA,Oct_CAT_cDNA,Oct_5m_cDNA,Jan_CAT_DNA,Jan_5m_DNA,Jan_POLA_DNA,Jan_5m_cDNA,April_DCM_DNA,Jan_CAT_cDNA,July_DCM_cDNA,April_DCM_cDNA,Oct_150m_cDNA,Jan_DCM_cDNA,Jan_150m_cDNA,April_POLA_cDNA,July_POLA_cDNA,April_POLA_DNA,Oct_POLA_cDNA,Jan_POLA_cDNA,July_890m_DNA,July_890m_cDNA,Oct_DCM_cDNA,Jan_890m_DNA,Jan_890m_cDNA,Oct_890m_DNA,Oct_890m_cDNA,April_890m_cDNA,taxonomy
unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless
EU793788,6,8,3,10,12,6,2,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Duboscquella; __
EU793789,20,53,0,30,14,3,50,22,177,130,5,12,1,182,64,6,19,2,161,6,1,428,13,46,58,46,15,12,15,3,3,12,37,41,131,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Syndiniales Group II; __
AY664900,4,18,1,19,2,77,2,508,509,25,370,378,106,0,12,274,0,0,0,46,150,0,0,2,84,166,596,222,938,31,3,870,134,310,19,7,16,7,34,180,3,1,9,297,1,11,4,0,Eukaryota; __Alveolata; __Dinoflagellata; __Dinophyceae; __Gymnodiniphycidae
GU823331,0,1,1,9,5,10,78,265,19,6,3,2,14,20,0,168,82,24,56,49,26,200,71,426,15,10,30,68,0,50,2,45,119,55,178,61,32,0,185,102,8,190,24,137,40,4,27,61,Eukaryota; __Stramenopiles; __MAST-9; __; __; __
JQ226560,1,0,0,0,4,5,39,40,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,12,3,42,0,0,0,0,0,0,6,0,0,6,0,0,11,Eukaryota; __Stramenopiles; __MAST-1; __MAST-1 A; __; __
GU823990,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Rhizaria; __Radiolaria; __Polycystinea; __Nassellaria; __Pseudocubus
HM369688,0,2,0,0,0,0,0,0,4,0,0,0,4,0,32,0,0,10,0,0,2,32,0,26,0,4,0,4,1,0,0,0,0,16,1,0,5,0,18,1,0,0,0,1,0,0,0,0,Eukaryota
EU793784,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Syndiniales Group II; __
EU793785,0,0,0,0,0,0,0,0,0,0,1,0,14,0,2,2,0,0,0,0,9,0,0,0,5,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Amoebophrya; __
HM369687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,22,0,7,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Stramenopiles; __MAST-1; __MAST-1 C; __; __
FJ914451,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,7,2,1,0,0,1,0,0,0,0,0,0,2,0,0,0,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales
FJ914455,0,0,0,1,0,0,0,0,0,0,0,0,0,46,2,0,12,0,70,0,13,156,2,18,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota; __Alveolata; __Protalveolata; __Syndiniales; __Syndiniales Group II; __
