type,id,attributes.accession,attributes.pipeline-version,attributes.experiment-type,attributes.analysis-status,attributes.analysis-summary,attributes.is-private,attributes.last-update,attributes.complete-time,attributes.instrument-platform,attributes.instrument-model,relationships.study.data.id,relationships.study.data.type,relationships.run.data.id,relationships.run.data.type,relationships.sample.data.id,relationships.sample.data.type
analysis-jobs,MGYA00776407,MGYA00776407,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '20364'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '17715'}, {'key': 'Nucleotide sequences after length filtering', 'value': '17715'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '17715'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '12400'}]",False,2024-07-29T08:09:22.442354,2024-07-29T08:09:00,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717050,runs,SRS5841512,samples
analysis-jobs,MGYA00776410,MGYA00776410,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '33898'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '29049'}, {'key': 'Nucleotide sequences after length filtering', 'value': '29049'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '29049'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '21183'}]",False,2024-07-29T08:09:39.592745,2024-07-29T08:09:37,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717021,runs,SRS5841538,samples
analysis-jobs,MGYA00776413,MGYA00776413,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '25100'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '21903'}, {'key': 'Nucleotide sequences after length filtering', 'value': '21903'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '21903'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '14643'}]",False,2024-07-29T08:09:54.621743,2024-07-29T08:09:53,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717017,runs,SRS5841540,samples
analysis-jobs,MGYA00776416,MGYA00776416,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '29432'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '25171'}, {'key': 'Nucleotide sequences after length filtering', 'value': '25171'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '25171'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '21442'}]",False,2024-07-29T08:10:08.624045,2024-07-29T08:10:07,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717011,runs,SRS5841547,samples
analysis-jobs,MGYA00776419,MGYA00776419,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '35964'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '31156'}, {'key': 'Nucleotide sequences after length filtering', 'value': '31156'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '31156'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '24156'}]",False,2024-07-29T08:10:23.277548,2024-07-29T08:10:21,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717000,runs,SRS5841557,samples
analysis-jobs,MGYA00776423,MGYA00776423,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '29426'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '26067'}, {'key': 'Nucleotide sequences after length filtering', 'value': '26067'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '26067'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '26064'}]",False,2024-07-29T08:10:41.041596,2024-07-29T08:10:38,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716992,runs,SRS5841564,samples
analysis-jobs,MGYA00776427,MGYA00776427,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '29620'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '26733'}, {'key': 'Nucleotide sequences after length filtering', 'value': '26733'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '26733'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '26731'}]",False,2024-07-29T08:11:02.226117,2024-07-29T08:11:00,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716951,runs,SRS5841607,samples
analysis-jobs,MGYA00776430,MGYA00776430,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '40801'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '36518'}, {'key': 'Nucleotide sequences after length filtering', 'value': '36518'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '36518'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '32284'}]",False,2024-07-29T08:11:16.517507,2024-07-29T08:11:15,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716870,runs,SRS5841690,samples
analysis-jobs,MGYA00776433,MGYA00776433,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '37438'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '33120'}, {'key': 'Nucleotide sequences after length filtering', 'value': '33120'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '33120'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '27017'}]",False,2024-07-29T08:11:31.905570,2024-07-29T08:11:30,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717094,runs,SRS5841464,samples
analysis-jobs,MGYA00776437,MGYA00776437,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '75649'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '68745'}, {'key': 'Nucleotide sequences after length filtering', 'value': '68745'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '68745'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '35648'}]",False,2024-07-29T08:11:50.254273,2024-07-29T08:11:47,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717093,runs,SRS5841465,samples
analysis-jobs,MGYA00776440,MGYA00776440,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '42141'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '37942'}, {'key': 'Nucleotide sequences after length filtering', 'value': '37942'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '37942'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '34202'}]",False,2024-07-29T08:12:10.787293,2024-07-29T08:12:09,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717091,runs,SRS5841467,samples
analysis-jobs,MGYA00776443,MGYA00776443,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '46355'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '41138'}, {'key': 'Nucleotide sequences after length filtering', 'value': '41138'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '41138'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '34964'}]",False,2024-07-29T08:12:40.161397,2024-07-29T08:12:38,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10717090,runs,SRS5841468,samples
